,first_name,last_name,gender,DOB,job_industry_category,wealth_segment,owns_car,state,AGE,Age_Groups
0,Chickie,Brister,Male,1957-07-12,Manufacturing,Mass Customer,Yes,QLD,63.0,Age : 61 - 80
1,Morly,Genery,Male,1970-03-22,Property,Mass Customer,No,NSW,50.0,Age : 41 - 60
2,Ardelis,Forrester,Female,1974-08-28,Financial Services,Affluent Customer,No,VIC,46.0,Age : 41 - 60
3,Lucine,Stutt,Female,1979-01-28,Manufacturing,Affluent Customer,Yes,QLD,41.0,Age : 41 - 60
4,Melinda,Hadlee,Female,1965-09-21,Financial Services,Affluent Customer,No,NSW,54.0,Age : 41 - 60
5,Druci,Brandli,Female,1951-04-29,Entertainment,High Net Worth,Yes,QLD,69.0,Age : 61 - 80
6,Rutledge,Hallt,Male,1976-10-06,Financial Services,Mass Customer,No,NSW,43.0,Age : 41 - 60
7,Nancie,Vian,Female,1972-12-27,Retail,Mass Customer,Yes,QLD,47.0,Age : 41 - 60
8,Duff,Karlowicz,Male,1972-04-28,Manufacturing,Mass Customer,Yes,NSW,48.0,Age : 41 - 60
9,Barthel,Docket,Male,1985-08-02,IT,Mass Customer,Yes,QLD,35.0,Age : 21 - 40
10,Rockwell,Matson,Male,1995-01-01,Retail,High Net Worth,No,QLD,25.0,Age : 21 - 40
11,Wheeler,Winward,Male,1999-08-30,Manufacturing,Mass Customer,No,VIC,21.0,Age : 21 - 40
12,Olag,,Male,1990-05-13,Telecommunications,Mass Customer,No,NSW,30.0,Age : 21 - 40
13,Melba,Spellacy,Female,1976-12-09,Health,Mass Customer,No,NSW,43.0,Age : 41 - 60
14,Mandie,Feares,Female,1964-04-19,Health,Mass Customer,No,QLD,56.0,Age : 41 - 60
15,Dukie,Swire,Male,1954-03-31,Manufacturing,Affluent Customer,Yes,NSW,66.0,Age : 61 - 80
16,Marcelia,Monkleigh,Female,1993-08-22,Manufacturing,Mass Customer,Yes,QLD,27.0,Age : 21 - 40
17,Winnifred,Beswetherick,Female,1976-06-08,Financial Services,Mass Customer,No,VIC,44.0,Age : 41 - 60
18,Odilia,Quick,Female,1938-11-09,Manufacturing,Affluent Customer,Yes,NSW,81.0,Age : 81 - 100
19,Karly,Willavize,Female,1954-08-12,Manufacturing,High Net Worth,No,NSW,66.0,Age : 61 - 80
20,Teddie,Burchill,Male,1968-12-21,Manufacturing,Mass Customer,Yes,NSW,51.0,Age : 41 - 60
21,Gaston,Dallaghan,Male,1993-09-29,Financial Services,Mass Customer,Yes,NSW,26.0,Age : 21 - 40
24,Brena,Schnitter,Female,1982-10-11,Manufacturing,Mass Customer,No,QLD,37.0,Age : 21 - 40
25,Rourke,Gillbard,Male,1945-08-03,Property,Mass Customer,No,QLD,75.0,Age : 61 - 80
26,Dyane,Burwell,Female,1952-06-27,Retail,Mass Customer,Yes,NSW,68.0,Age : 61 - 80
27,Claudine,Barstowk,Female,1966-07-20,Property,High Net Worth,Yes,QLD,54.0,Age : 41 - 60
28,Blinnie,Roze,Female,1960-12-10,Entertainment,High Net Worth,No,QLD,59.0,Age : 41 - 60
29,Rhona,De Freyne,Female,1960-11-22,Health,High Net Worth,No,VIC,59.0,Age : 41 - 60
30,Sharron,Claibourn,Female,1980-01-26,Financial Services,High Net Worth,Yes,NSW,40.0,Age : 21 - 40
31,Brien,Heaton,Male,1951-11-28,Health,Mass Customer,Yes,NSW,68.0,Age : 61 - 80
32,Sybilla,MacCart,Female,1987-01-15,Financial Services,Mass Customer,Yes,NSW,33.0,Age : 21 - 40
34,Maisie,Maddox,Female,1977-05-09,Financial Services,Affluent Customer,No,VIC,43.0,Age : 41 - 60
35,Arleen,Casbolt,Female,1975-05-10,Financial Services,Affluent Customer,Yes,QLD,45.0,Age : 41 - 60
37,Mitchell,MacCague,Male,1979-04-11,Manufacturing,Mass Customer,No,VIC,41.0,Age : 41 - 60
38,Garik,Whitwell,Male,1955-06-13,Property,Mass Customer,Yes,VIC,65.0,Age : 61 - 80
39,Antonin,Britt,Male,1993-08-28,Manufacturing,Affluent Customer,Yes,NSW,27.0,Age : 21 - 40
40,Vinny,Incogna,Female,1953-02-13,Health,High Net Worth,No,NSW,67.0,Age : 61 - 80
41,Colene,Fishleigh,Female,1985-03-14,Financial Services,Mass Customer,No,VIC,35.0,Age : 21 - 40
42,Neile,Argent,Female,1946-10-25,Retail,Mass Customer,No,NSW,73.0,Age : 61 - 80
45,Gipsy,Ewestace,Female,1956-08-30,Retail,High Net Worth,Yes,NSW,64.0,Age : 61 - 80
46,Sheena,Kybbye,Female,1956-07-16,Financial Services,Affluent Customer,Yes,QLD,64.0,Age : 61 - 80
48,Gale,Disbrow,Female,1977-05-14,Financial Services,Mass Customer,Yes,VIC,43.0,Age : 41 - 60
49,Thaxter,Kingsbury,Male,1950-05-03,Argiculture,Mass Customer,No,NSW,70.0,Age : 61 - 80
50,Heinrick,Shilstone,Male,1978-02-11,Manufacturing,Affluent Customer,No,VIC,42.0,Age : 41 - 60
51,Taylor,Steuhlmeyer,Male,1999-03-22,Financial Services,Affluent Customer,Yes,QLD,21.0,Age : 21 - 40
52,Griswold,Kelsall,Male,1993-12-19,Health,High Net Worth,Yes,VIC,26.0,Age : 21 - 40
53,Odessa,Mc Andrew,Female,1981-12-01,Property,Mass Customer,No,NSW,38.0,Age : 21 - 40
54,Lavena,Seekings,Female,1995-03-25,Retail,Mass Customer,No,VIC,25.0,Age : 21 - 40
55,Martelle,Tuppeny,Female,1981-02-03,Manufacturing,Mass Customer,No,NSW,39.0,Age : 21 - 40
56,Briant,Ladley,Male,1979-12-17,Argiculture,Mass Customer,No,NSW,40.0,Age : 21 - 40
60,Lorrie,Antonelli,Male,1983-02-11,Financial Services,High Net Worth,Yes,NSW,37.0,Age : 21 - 40
61,Jedediah,Kedie,Male,1971-12-29,Argiculture,Mass Customer,Yes,NSW,48.0,Age : 41 - 60
62,Kaine,Smallcombe,Male,1942-02-06,Financial Services,High Net Worth,No,NSW,78.0,Age : 61 - 80
63,Loise,Iltchev,Female,1967-03-18,Manufacturing,High Net Worth,Yes,QLD,53.0,Age : 41 - 60
64,Cristen,Maroney,Female,1999-11-21,IT,High Net Worth,Yes,QLD,20.0,Age : 0 - 20
65,Dorothy,Barnardo,Female,1983-02-01,Retail,High Net Worth,No,NSW,37.0,Age : 21 - 40
66,Rosmunda,Duxbarry,Female,1996-07-20,Property,Affluent Customer,Yes,QLD,24.0,Age : 21 - 40
67,Rozamond,Riha,Female,1984-10-07,Manufacturing,Affluent Customer,Yes,QLD,35.0,Age : 21 - 40
68,Gunner,Petti,Male,1999-06-08,Financial Services,High Net Worth,Yes,QLD,21.0,Age : 21 - 40
70,Sherilyn,Canero,Female,1996-08-03,Health,High Net Worth,Yes,NSW,24.0,Age : 21 - 40
71,Bessie,Roscow,Female,1994-08-04,Financial Services,Mass Customer,No,NSW,26.0,Age : 21 - 40
72,Kevina,Ferandez,Female,1999-09-21,Financial Services,High Net Worth,No,QLD,20.0,Age : 0 - 20
74,Mabelle,Wellbelove,Female,1958-04-21,Financial Services,Affluent Customer,Yes,NSW,62.0,Age : 61 - 80
75,Hasheem,Groucock,Male,1974-09-17,Manufacturing,High Net Worth,Yes,NSW,46.0,Age : 41 - 60
76,Tobias,Woodhams,Male,1961-04-15,Health,Mass Customer,No,NSW,59.0,Age : 41 - 60
77,Glennis,Flintoff,Female,1956-10-22,Health,Affluent Customer,Yes,VIC,63.0,Age : 61 - 80
78,Chanda,Mensler,Female,1972-01-14,Manufacturing,Mass Customer,Yes,NSW,48.0,Age : 41 - 60
79,Katheryn,Kinner,Female,1973-11-28,Entertainment,High Net Worth,No,NSW,46.0,Age : 41 - 60
80,Sumner,Carrivick,Male,1995-04-09,Manufacturing,Mass Customer,No,NSW,25.0,Age : 21 - 40
81,Valerie,Pickover,Female,1965-09-08,Financial Services,Mass Customer,No,NSW,55.0,Age : 41 - 60
